finding_id,fase,tipo,descricao,evidencia,causa,acao,validacao,status
F-PROD-04,5,limitacao,"GoogleService-Info.plist real ausente do projeto (dependencia de acesso administrativo ao console Firebase institucional do TJAC, pertencente a terceiro) - envio/recebimento real de push FCM NUNCA foi validado","DECISIONS.md D0051; Versus decisao #71; get_exit_criteria(5) ui_runnable details ('Push FCM ... permanece PENDENTE')","Dependencia externa/organizacional, nao falha tecnica","VA-human declarou explicitamente como divida tecnica; criterio de push mantido PENDENTE no escopo, nao removido","FirebaseMessaging integrado e projeto compilando (CONFIRMADO); inicializacao real, token FCM e entrega de push NAO VALIDADOS","aberto (divida tecnica)"
F-PROD-05,5,produto,"mTLS: 1a hipotese de correcao (MTLSSessionDelegate conformar URLSessionTaskDelegate alem de URLSessionDelegate) foi insuficiente","DECISIONS.md D0053 (correcao) / D0054 (insuficiente); RESEARCH_LOG.md P0018/P0019","Delegate de sessao sozinho nao respondia de forma confiavel ao desafio de certificado cliente com session.data(for:)","Correcao mantida no codigo (melhoria de robustez legitima, mas insuficiente); diagnostico continuou","Smoke test P0 #3 (P0019) ainda FAIL - levou ao diagnostico F-PROD-06","resolvido (parcial - a correcao ficou; a causa era outra)"
F-PROD-06,5,produto,"mTLS: SecPKCS12Import falhava (errSecAuthFailed -25293) ao importar cliente_api_esjud.p12. Diagnostico D0054 (causa = criptografia PKCS12 legada [cifra legada]) foi POSTERIORMENTE REFUTADO por experimento controlado: a causa real e SENHA VAZIA ([criptografia moderna] moderno + senha vazia ainda falha; mesmo material + senha real -> HTTP 200 real)","DECISIONS.md D0054 (diagnostico refutado) / D0055 (correcao do diagnostico); RESEARCH_LOG.md P0019 e '2026-08-31T04:04:56Z'","O .p12 da baseline Android usa senha vazia; a politica do Security.framework da Apple rejeita PKCS12 com senha vazia no SecPKCS12Import","GA fez experimento controlado ANTES de aplicar remediacao; .p12 reencodado a partir do MESMO par chave/certificado real com senha aleatoria forte + criptografia moderna; senha embutida em AppConfiguration.swift (padrao de baixo risco D0015); original preservado como backup; temporarios com chave em claro apagados","mTLS ponta a ponta confirmado fora do app (HTTP 200 real); rebuild real BUILD SUCCEEDED (Package + App); dentro do app confirmado nos smoke tests seguintes","resolvido"
F-PROD-07,5,produto,"HTTP/2 connection coalescing: a URLSession unica do app reaproveitava/coalescia (RFC 7540 9.1.1) a conexao HTTP/2 ja autenticada com api-esjud.tjac.jus.br para hosts DIFERENTES cobertos pelo mesmo certificado wildcard *.tjac.jus.br, sem emitir novo desafio ClientCertificate -> HTTP 421 (Misdirected Request) em Certidao de Curso e Certificado Externo","DECISIONS.md D0057 (causa confirmada) / D0058 (correcao); RESEARCH_LOG.md P0021/P0022","Comportamento padrao de coalescencia de conexao do URLSession/HTTP2 com certificado wildcard","URLSession isolada por host mTLS (sessionsByHost em NetworkClient) - cada host mTLS executa seu proprio handshake. Sem desabilitar HTTP/2, sem enfraquecer TLS, sem trust-all, sem alterar backend","Smoke test P0 #6 (P0023): Certidao e Certificado Externo passaram a receber ClientCertificate e HTTP 200 (sem mais 421) - D0061 confirma Frente 1 resolvida","resolvido"
F-PROD-08,5,produto,"Certidao de Curso: o PDF gerado pela API era descartado - pdfBytes obtido mas sem etapa de persistencia/apresentacao","DECISIONS.md D0061 (causa) / D0062 (correcao); RESEARCH_LOG.md P0023/P0024","Etapa de persistencia/apresentacao ausente apos a geracao (lacuna de implementacao, nao de rede/parsing)","PDF salvo em Documents/certidoes/; tela oferece Abrir (QuickLook) e Compartilhar (ShareLink). API/formato de geracao intocados","Rebuild real BUILD SUCCEEDED; smoke test P0 #7 (P0025) Certidao PASS; D0073 confirma PASS real completo","resolvido"
F-PROD-09,5,produto,"Certificado Externo: repository.listar() (M-07) nunca era chamado pela UI (M-19) - lacuna de wiring, nao rede/parsing","DECISIONS.md D0061 (causa) / D0063 (correcao); RESEARCH_LOG.md P0023/P0024","buscarPessoa() nao encadeava carregarCertificados(); a listagem existia no dominio mas nao estava conectada a apresentacao","Nova secao 'Certificados registrados' na UI; swipe-to-delete condicionado a podeExcluir; buscarPessoa() passa a chamar carregarCertificados() automaticamente","Rebuild real BUILD SUCCEEDED; smoke test P0 #7 (P0025) inicialmente ainda FAIL por F-PROD-11 (CPF); apos D0067, D0073 confirma PASS real","resolvido"
F-PROD-10,5,produto,"AVA/Moodle: a resposta logica do Moodle para tool_mobile_get_autologin_key chega em HTTP 200 mas sem key/autologinurl validos; o decoding falhava e o iOS NAO tinha o fallback que o Android tem (abrir a pagina de login padrao do Moodle)","DECISIONS.md D0061 (causa) / D0064 (correcao); RESEARCH_LOG.md P0023/P0024","Fallback ausente - divergencia real vs. baseline Android (MoodleWebViewModel.kt.load())","Novo MoodleWebRepository.loginPageURL() + fallback em MoodleWebViewModel.load(): falha logica do autoLoginURL abre login padrao do Moodle (derivado do baseURL injetado, sem host hardcoded). Sem alteracao de backend/autenticacao","Rebuild real BUILD SUCCEEDED; smoke test P0 #7 (P0025) AVA/Moodle PASS (confirma D0064); D0073 confirma","resolvido"
F-PROD-11,5,produto,"Certificado Externo: o CPF era enviado ao backend SEM a mascara 000.000.000-00 que o backend exige; a baseline Android formata o CPF (CertExtViewModel.kt.formatarCpf) antes de toda chamada, o iOS nao portou isso","DECISIONS.md D0065 (causa confirmada por curl real) / D0067 (correcao); RESEARCH_LOG.md P0025/P0026","Funcao de formatacao de CPF do Android nao foi portada para o iOS","formattedCPF() adicionado a CertExtRepository (M-07, camada de dominio), aplicado nos 4 pontos (obterPessoa/listar/registrar/excluir); aceita CPF bruto e ja formatado","Helper validado (bruto/formatado/com ruido -> 111.111.111-11); curl real a obter_pessoa.php com CPF mascarado -> HTTP 200 sucesso; rebuild BUILD SUCCEEDED; smoke test P0031 (D0073) PASS real dentro do app","resolvido"
F-PROD-12,5,produto,"Certificados: o modelo Swift 'Certificate' declarava o campo 'pessoa: String' como OBRIGATORIO, mas a resposta real de producao (GET /api/certificados/{cpf}) NAO retorna esse campo em nenhum item -> DecodingError.keyNotFound('pessoa')","DECISIONS.md D0065 (causa confirmada por curl real) / D0066 (correcao); RESEARCH_LOG.md P0025/P0026","Modelo derivado de fonte/documentacao desatualizada em relacao ao contrato real do backend. ACHADO METODOLOGICO: Certificate.kt (Android) TAMBEM declara 'pessoa' obrigatorio - inconsistencia preexistente de modelo vs. contrato real, nao erro exclusivo do iOS","Campo 'pessoa' removido de Certificate (M-05) - inspecao confirmou zero usos em todo o codigo iOS; removido com seguranca","Validado contra resposta real de producao (3045 bytes, identica a capturada no app): 15/15 certificados decodificados sem erro; rebuild BUILD SUCCEEDED; smoke test P0031 (D0073) PASS real dentro do app","resolvido"
F-PROD-13,5,produto,"Home: o nome exibido usava o texto bruto digitado no campo de login, em vez de session.fullName -> session.username -> 'bem-vindo(a)' (padrao da baseline HomeScreen.kt)","DECISIONS.md D0053 (correcao #2); RESEARCH_LOG.md P0018","Wiring de apresentacao usava a string crua do campo de login","Nome na Home passou a usar session.fullName->session.username->'bem-vindo(a)'","Rebuild real BUILD SUCCEEDED; confirmado nos smoke tests seguintes","resolvido"
F-PROD-14,5,produto,"Persistencia de sessao: a sessao nao persistia entre reaberturas do app (token isolado no Keychain sem chave de 'conta atual'; AppShell nunca chamava restauracao no startup). Achado adicional (mesma causa raiz): AuthRepository.logout() NUNCA era chamado por nenhum consumidor - 'logout' nao limpava o Keychain","DECISIONS.md D0070; RESEARCH_LOG.md P0029; comparacao com AuthRepository.kt da baseline","Estado 100% em memoria no AppShell/AuthUI, ignorando o token ja persistido; closure onLogout so resetava estado em memoria","PersistedSessionMeta (nao sensivel) + chave 'auth.currentAccount' em LocalStore; AuthRepository.currentSession()/logout() novos; restauracao no .task de startup do ESJUDApp; onLogout passa a chamar logout() de verdade. Nenhuma senha persistida","Rebuild BUILD SUCCEEDED (Package+App); estado limpo confirma queda segura em Login (screenshot real). Validacao humana: passos A-D PASS (D0071); passos E-G PASS no smoke final (D0073)","resolvido"
F-PROD-15,5,produto,"Bug de integracao encontrado por AUTORREVISAO do GA ANTES de compilar: placeholder sem sentido para o token do MoodleWebViewModel (sempre string vazia) e cpf:'' hardcoded para Certificates/Certidao/CertExt/Enrollment, sem via de o usuario alterar","DECISIONS.md D0041; Versus decisao #33 ('FALHA DE INTEGRACAO REAL ... Nenhuma tentativa de build foi feita com o codigo incorreto')","LoginViewModel nao capturava/expunha a Session do login; CPFs como 'let' imutavel sem campo de UI","LoginViewModel ganhou session capturada; CPF convertido para var; TextField de CPF adicionado a 3 telas; ESJUDApp.swift passou a usar dados reais da sessao","Recompilacao completa (Package + App) -> BUILD SUCCEEDED; registrado com o mesmo rigor de uma falha real por ter chegado a ser escrito","resolvido"
F-PROD-16,5,produto,"Erro real de compilacao em M-07 cert-ext: 'method cannot be declared public because its result uses an internal type' (PessoaExtData declarado sem 'public' mas exposto por metodo publico)","RESEARCH_LOG.md linhas ~553 e ~1020; DECISIONS.md (referenciada); Versus decisao #24","Struct de DTO decodificavel declarada com visibilidade padrao (internal) por habito","'public' adicionado a PessoaExtData e suas propriedades; causa nomeada via record_decision(diagnosis) no momento","Recompilacao -> BUILD SUCCEEDED. 1 falha, 1 causa, 1 correcao - nao ativou S6","resolvido"
F-PROD-17,5,produto,"Micro-check S7 em M-04 courses: timeout de 15s aplicado uniformemente a list/fetchForm/enroll, quando a arquitetura so previa timeout estendido para fetchForm (Puppeteer-backed), e 15s era MENOR que o padrao de 30s de M-01 (contradizendo 'estendido')","RESEARCH_LOG.md linha ~1028 (item 8 do checkpoint); get_exit_criteria(5) specs_consulted details","Drift de implementacao vs. o que a arquitetura previa","list/enroll voltaram a usar o timeout padrao (30s); fetchForm mantido explicito em 30s com comentario","Corrigido antes de prosseguir para o modulo seguinte","resolvido"
F-PROD-18,6,produto,"Suite XCTest, 1a rodada da Fase 6 (P0032): 8 falhas, todas em AdminFeedTests - as requisicoes saiam para a REDE REAL (timeout -1001) porque o StubURLProtocol nao interceptava o PRIMEIRO URLSession com protocolClasses customizada criado no processo","RESEARCH_LOG.md P0032 ('plano da Fase 6'); GATES.md nota de anomalia 2026-08-31T17:49:41Z","Quirk de primeiro uso do CFNetwork/URLSession com protocolClasses (a 1a suite a rodar no processo nao intercepta; as seguintes sim)","Suite de aquecimento AAABootstrapTests (ordena antes de AdminFeedTests) faz uma requisicao de aquecimento sem assercao, absorvendo o primeiro uso","Rodada seguinte: 67/67 verde (engine-witnessed 2026-08-31T17:49:41Z). Nao ativou S6 (1 falha efetiva = 1 causa = 1 correcao)","resolvido"
F-PROD-19,6,produto,"UC-3 (Inscricao em Curso): ao tocar 'Inscrever-se' o formulario de inscricao NAO carrega. Causa raiz: o fluxo de inscricao do iOS NUNCA obtem o CPF do usuario - EnrollmentViewModel recebia cpf de session.cpf (estruturalmente sempre vazio - nem login/token.php nem get_site_info retornam CPF) e nao havia campo/tela de CPF (a baseline Android tem CpfInputDialog + guard de 11 digitos + saveCpf). Backend responde HTTP 400 {'success':false,'message':'Os parametros \"urlCurso\" e \"cpf\" sao obrigatorios.'}","RESEARCH_LOG.md P0033; Versus decisao #71; verificacao empirica por curl mTLS real contra producao (GET /api/cursos HTTP 200 com campo url presente; GET /[endpoint-formulario-inscricao]?cpf= -> HTTP 400)","Wiring ausente: sem ponto de entrada de CPF no fluxo de inscricao iOS; EnrollmentViewModel.loadForm() nao validava CPF antes de chamar a rede","Correcao aprovada 'como proposta' (P0033): EnrollmentViewModel ganhou cpfDigits + hasValidCPF + sanitizeCPF() + closure persistCPF; loadForm() valida 11 digitos antes de tocar a rede; EnrollmentScreen ganhou passo de entrada de CPF; app-shell persiste em LocalStore (user.cpf). extractMessage passou a decodificar JSON de verdade (regex truncava aspas escapadas). Testes de regressao: EnrollmentViewModelTests (5) + CoursesTests (+2)","Compila e 74 testes verdes (engine-witnessed). RETESTE MANUAL do VA-human: AINDA FALHA -> ver F-PROD-20","resolvido no cliente (P0033 CPF + P0040 maquina de estados); funcionalidade absoluta bloqueada por EXT-DEP-02 (backend), confirmada indisponivel tambem na baseline Android — P0043"
F-PROD-20,6,produto,"UC-3 continua exibindo 'Erro ao carregar formulario' apos a correcao F-PROD-19. Diagnostico da execucao real (curl mTLS real contra producao): o encoding de urlCurso NAO e o fator; backend alterna HTTP 200 (~3,4s, payload que o modelo iOS decodifica OK) e HTTP 422 'FORM_UNAVAILABLE ... etapa: timeout' (~19,5-19,8s) para cursos abertos. A mensagem generica so vem de NetworkError .transport (timeout de cliente), .decoding, .certificateUnavailable ou .invalidURL. CAUSA OBJETIVA mais provavel: SUB-ORCAMENTO DE TIMEOUT DO CLIENTE iOS - fetchForm usa 30s; a baseline Android usa OkHttp readTimeout(120s) (NetworkModule.kt) para o mesmo endpoint Puppeteer-backed. DEFEITO LATENTE SECUNDARIO (classe F-PROD-12): FormularioInscricao declara success + 6 listas como obrigatorias; o modelo Android da default a todos os campos","RESEARCH_LOG.md P0034; Versus decisao #74; ESJUDAC android .../NetworkModule.kt (connectTimeout 30s / readTimeout 120s / writeTimeout 60s)","Sub-orcamento de timeout do cliente iOS para endpoint Puppeteer-backed; secundariamente, modelo Decodable mais estrito que a baseline e que o contrato real","VA-human aprovou SO a mudanca A (observabilidade): fetchForm nao colapsa mais NetworkError - cada modo (transport/timeout, decoding, httpStatus+message, certificado, URL invalida) vira mensagem distinta e SEGURA (sem CPF/PII/payload); NetworkClient.transport passa a carregar so 'domain code=N' (nao String(describing:) que embute a URL com cpf); logTransportError parou de logar userInfo. NAO alterados (por instrucao): timeout 30s, modelo FormularioInscricao, lifecycle do EnrollmentViewModel, news.materia","Mudanca A: compila; 78 testes verdes (engine-witnessed). Correcao CAUSAL (timeout/modelo) NAO aplicada. Reteste manual do mesmo curso/fluxo PENDENTE - deve revelar o modo real","reclassificado — NAO e defeito do cliente iOS: cliente correto e em paridade com a baseline; formulario indisponivel tambem no Android; causa = EXT-DEP-02 (backend Puppeteer etapa:timeout, contrato fixo D0012). P0043"
F-PROD-21,6,produto,"CourseRepository.extractMessage usava so regex '\"message\"\\s*:\\s*\"([^\"]*)\"' - o corpo real de erro 400 do backend traz aspas ESCAPADAS no texto, e [^\"]* trunca na 1a aspa interna (mesma limitacao existe na baseline Android com a mesma regex)","RESEARCH_LOG.md P0033 (cont.); Versus decisao #72 (diagnosis id e94a2c47)","Regex ingenua para extracao de campo de JSON","extractMessage passou a decodificar o JSON de verdade ({message: String?}) antes do fallback por regex","1a rodada da suite pos-correcao teve 2 falhas exatamente por isso; corrigido; 2a rodada verde","resolvido"
F-PROD-22,5,produto,"Divergencia estrutural AVA/Moodle vs. Android (achado de comparacao, nao correcao): MoodleWebScreen.kt usa Custom Tabs + onBack() imediato (nao e modal sobreposto); iOS usa .sheet sobre a tela ainda presente na NavigationStack","DECISIONS.md D0060; RESEARCH_LOG.md P0022 Frente 3","Traducao de plataforma: Custom Tabs (Android) -> SFSafariViewController em .sheet (iOS)","Apenas instrumentado (SFSafariViewControllerDelegate); SFSafariViewController NAO substituido; fluxo nao alterado. Anotado como candidato a correlacionar","Frente 3 ficou so em instrumentacao; a falha AVA/Moodle real foi resolvida por outra causa (F-PROD-10)","registrado (nao acionado)"
EXT-DEP-01,5,limitacao,"Push FCM real (envio/recebimento de notificacao) — funcionalidade absoluta bloqueada.","D0051; get_exit_criteria(5) ui_runnable; P0015-P0016","Falta GoogleService-Info.plist do console Firebase institucional do TJAC (acesso administrativo indisponivel ao VA-human) — dependencia externa/organizacional","Registrado como divida tecnica; criterio de push mantido PENDENTE no escopo, nao removido; FirebaseMessaging integrado e compilando","Cliente iOS pronto; entrega real de push NAO validavel sem o arquivo de terceiro","aberto (dependencia externa)"
EXT-DEP-02,6,limitacao,"Formulario de inscricao em curso (UC-3) — funcionalidade absoluta bloqueada; cliente iOS correto e em paridade com a baseline.","D0084; P0041 (varredura curl: 422 FORM_UNAVAILABLE etapa:timeout deterministico para 3 de 6 cursos, HTTP 200 para 2 de 6); P0043 (VA-human confirmou o mesmo fluxo indisponivel na baseline Android)","Passo Puppeteer server-side do backend api-esjud.tjac.jus.br/[endpoint-formulario-inscricao] estoura o proprio tempo para a maioria dos cursos. Backend e contrato fixo (D0012) — fora do escopo de correcao.","Nenhuma correcao no cliente iOS (nao mascarar defeito compartilhado com a baseline). Cliente verificado correto por request-equivalencia (curl + assinatura Retrofit do Android) + P0040 (maquina de estados sempre com saida).","curl (cliente HTTP distinto do URLSession) reproduz o 422 identicamente; baseline Android igualmente indisponivel","aberto (dependencia externa; nao e FAIL do cliente)"
F-META-01,0-6,agente,"O GA repetidamente antecipou solucoes/afirmacoes que a execucao humana posteriormente refutou ou refinou: phase-boundary leakage (F-PROC-01); diagnostico [cifra legada] refutado (F-PROD-06); 'Certificados causa NAO CONFIRMADA' (D0057) depois confirmada (F-PROD-12); correcao de CPF wiring (F-PROD-19) correta mas insuficiente (F-PROD-20); relato de Firebase 'OK' do VA-human refutado pela verificacao objetiva do proprio GA (D0048)","RESEARCH_LOG.md P0004/P0012/P0019/P0021/P0034; DECISIONS.md D0020/D0048/D0054/D0055/D0057","Comportamento observado do GA neste caso; nao ha grupo de controle","Em varios casos o GA foi instruido a 'diagnosticar antes de corrigir' e a 'parar e apresentar' - disciplina que o VA-human impos explicitamente (P0019/P0020/P0021/P0034)","N/A - e uma observacao de comportamento, nao um defeito a validar","observacao do caso (sem evidencia causal sobre a metodologia)"
F-META-02,0-6,va-human,"O VA-human (pesquisador e operador sao a mesma pessoa) exerceu verificacao humana ativa e frequente: rejeitou o Teach-Back; corrigiu a granularidade; pausou a Fase 5 3x (ambiente, checkpoint 7/23, Firebase manual); executou 8+ rodadas de smoke test reais com credenciais reais; reportou 2 FAILs no UC-3 na passada exploratoria; aprovou parcialmente (so a mudanca A) uma proposta de 4 partes","DECISIONS.md (31 linhas com autor 'VA-human'); GATES.md G0/G1/G4-02; RESEARCH_LOG.md P0017-P0031/P0033/P0034/P0035; Versus 17 mencoes a AskUserQuestion","Papel de VA-human definido no STUDY_PROTOCOL.md","N/A","observacao do caso"
F-META-03,4-6,versus,"check_all_safeguards() retorna apenas as safeguards 'aplicaveis a fase corrente' (ex.: so S2/S4 na Fase 4), nao as 8 S0-S7 completas - comportamento documentado da ferramenta, registrado para nao ser confundido com omissao de verificacao","GATES.md nota apos G4; get_exit_criteria(4) safeguards_s1_s5 details","Design da ferramenta MCP","Registrado como nota de interpretacao nos gates","N/A","observacao do caso"
F-META-04,5,versus,"S6 (loop de falhas nao diagnosticadas) e S7 (micro-check) aparecem como 'warning' durante a Fase 5/6 ativa - estado NORMAL de fase de implementacao, nao violacao. Nenhum round de correcao foi bloqueado por S6 (sempre houve causa nomeada antes de nova tentativa)","GATES.md ('S6/S7 em warning, esperado'); get_exit_criteria(5) s6_applied; Versus check_all_safeguards (0 violacoes)","Design da metodologia (S6 conta falhas consecutivas SEM diagnostico)","GA nomeou a causa via record_decision(category=diagnosis) antes de cada nova tentativa em todas as falhas reais","0 violacoes de safeguard em toda a Fase 5/6 (check_all_safeguards)","observacao do caso"
F-META-05,0-6,limitacao,"Caso unico, sem grupo de controle nem condicao de comparacao; pesquisador e operador sao a mesma pessoa (risco de vies de confirmacao); baseline unica de dominio institucional; dependencia de ferramenta versionada (Claude Code / Versus); ambiente de build iOS incompleto no inicio","STUDY_PROTOCOL.md secao 'Ameacas a validade conhecidas no inicio do estudo'","Desenho do estudo (exploratorio-descritivo)","STUDY_PROTOCOL.md declara explicitamente que nenhuma conclusao de superioridade metodologica deve ser extraida","N/A","limitacao estrutural declarada"
F-META-06,6,limitacao,"Metricas de esforco/tempo por atividade NAO sao calculaveis: RESEARCH_LOG.md registra timestamp por ENTRADA (nao por mensagem/acao); nao ha marcacao de inicio/fim de esforco de implementacao/correcao/teste; contagem de sessoes de chat nao e rotulada","research/RESEARCH_LOG.md (estrutura); research/METRICS/README.md","Instrumentacao de tempo nao foi definida no inicio do estudo","Este relatorio marca as metricas temporais afetadas como 'nao calculavel com os registros atuais'","N/A","lacuna de mensuracao (aberta)"
F-META-07,6,limitacao,"Contagem total exata de builds e de execucoes de teste nao e auditavel: 'BUILD SUCCEEDED' aparece 70x em RESEARCH_LOG mas muitas mencoes referenciam o mesmo build; nao ha um log consolidado de invocacoes de xcodebuild/npm test","grep -c 'BUILD SUCCEEDED' research/RESEARCH_LOG.md; ausencia de log consolidado","Builds nao foram contabilizados individualmente","Reportado como limite inferior (>=70 sucesso, >=1 falha, 3 crash de ferramenta)","N/A","lacuna de mensuracao (aberta)"
