metric_id,categoria,nome,valor,unidade,fase,fonte,observacao
M050,interacao,Mencoes a AskUserQuestion em RESEARCH_LOG.md,17,mencoes,0-6,"grep -c AskUserQuestion research/RESEARCH_LOG.md","Proxy de perguntas estruturadas ao VA-human"
M051,interacao,Rejeicoes/ajustes explicitos de proposta do GA pelo VA-human,3,eventos,0-6,"D0020 (Teach-Back rejeitado); D0022 (decomposicao 11 modulos rejeitada); P0035 (aprovado so a mudanca A de 4 propostas)","Contagem conservadora; nao inclui refutacoes empiricas via smoke test"
M052,interacao,Aprovacoes post-hoc,1,eventos,3-5,"D0033 / P0009 ('APROVACAO POST HOC DE M-23')","M-23 introduzido na Fase 3 sem aprovacao humana isolada dedicada; aprovado isoladamente so na Fase 5"
M053,interacao,Anomalias / desvios de processo registrados,10,itens,0-6,"ver FINDINGS_CURRENT.csv tipo=processo/versus/agente","Enumeracao no relatorio; alguns sao limitacoes de ferramenta"
M054,implementacao,Modulos implementados,23/23,modulos,5,"Versus get_exit_criteria(5) all_modules; D0042","M-01..M-22 + M-23"
M055,implementacao,Modulos compilados (Package completo BUILD SUCCEEDED),23/23,modulos,5,"D0040; D0042; RESEARCH_LOG.md","+ App target ESJUDApp.xcodeproj BUILD SUCCEEDED"
M056,implementacao,Mencoes 'BUILD SUCCEEDED' em RESEARCH_LOG.md,70,mencoes,5-6,"grep -c 'BUILD SUCCEEDED' research/RESEARCH_LOG.md","Nao e contagem de builds distintos - varias mencoes referenciam o mesmo build; ver observacao"
M057,implementacao,'BUILD FAILED' reais em RESEARCH_LOG.md,1,eventos,5,"RESEARCH_LOG.md linhas ~553 e ~1020 (mesmo evento); D0024/decisao Versus #24","M-07 cert-ext: 'method cannot be declared public because its result uses an internal type' (PessoaExtData sem public); corrigido -> BUILD SUCCEEDED"
M058,implementacao,Crashes reproduziveis de ferramenta (IDESwiftPackageCore),3,eventos,5,"D0045; D0046; Versus decisoes #38/#39","Firebase SDK via SPM/XCLocalSwiftPackageReference; mesma assinatura NSInvalidArgumentException; 3 reproducoes"
M058b,implementacao,Contagem total exata de invocacoes de build,NA,builds,5-6,"nao enumerada de forma auditavel nos registros","Um checkpoint (RESEARCH_LOG ~linha 1012) lista xcodebuild build x7 + xcodebuild -list x3 + ESJUDApp build x2, mas nao ha total consolidado"
M059,implementacao,Defeitos funcionais reais encontrados na Fase 5,11,defeitos,5,"D0052 D0053 D0054/D0055 D0057 D0061(x3) D0065(x2) D0053(nome) D0070(x2)","Firebase crash; mTLS delegate; PKCS12 senha vazia; HTTP/2 coalescing; Certidao PDF descartado; CertExt wiring; AVA fallback; Certificados campo pessoa; CPF sem mascara; nome na Home; sessao nao persiste + logout nunca chamado"
M060,implementacao,Correcoes aplicadas na Fase 5,12,correcoes,5,"D0052 D0053 D0055 D0058 D0062 D0063 D0064 D0066 D0067 D0068 D0069 D0070","Inclui refinamento visual D0068"
M061,implementacao,Correcoes aplicadas na Fase 6,3,correcoes,6,"RESEARCH_LOG P0032 (AAABootstrap + 2 erros de compilacao); P0033 (captura de CPF + extractMessage JSON); P0035 (observabilidade)","Correcao causal do UC-3 (timeout/modelo) NAO aplicada - so a mudanca A (P0035)"
M062,implementacao,Regressoes de produto confirmadas,0,regressoes,5-6,"D0073 (todos os fluxos P0 PASS reais apos correcoes D0057-D0072)","Fase 6: 3 atualizacoes de expectativa de teste apos mudanca intencional de comportamento (P0033 x2, P0035 x1) - nao sao regressoes de produto"
M063,implementacao,Modulos adicionados/removidos apos o Gate G4,0,modulos,5,"specs/technical/architecture.md (grafo V(2) inalterado); D0050 (M-11 mantido agnostico)","M-23 foi adicionado na Fase 3 (antes de G4); alteracoes pos-G4 sao ampliacoes de API dentro de modulos existentes + Firebase via XCFramework no app target"
M064,testes,Suites automatizadas antes da Fase 6,0,suites,0-5,"research/RESEARCH_LOG.md; STUDY_PROTOCOL.md ('nenhuma metrica coletada')","Nenhum XCTest ate a Fase 6"
M065,testes,Tamanho da suite - rodada P0032 (verde),67,testes,6,"RESEARCH_LOG P0032; Versus decisao #69/#70; get_exit_criteria(6) tests_passing details","Rodada 1: 66 executados / 8 falhas (AdminFeedTests); rodada 2: 67 / 0 falhas (engine-witnessed 2026-08-31T17:49:41Z)"
M066,testes,Tamanho da suite - apos P0033,74,testes,6,"RESEARCH_LOG 'P0033 (cont.)' ('74 = 67 + 7 novos')","Rodada 1: 2 falhas; rodada 2: 74 / 0 falhas"
M067,testes,Tamanho da suite - apos P0035 (atual),78,testes,6,"RESEARCH_LOG P0035 ('78 testes, 0 falhas, ** TEST SUCCEEDED **')","Rodada 1: 1 falha; rodada 2: 78 / 0 falhas"
M068,testes,Falhas no total atual,0,testes,6,"RESEARCH_LOG P0035; xcodebuild test output 'Executed 78 tests, with 0 failures'",""
M069,testes,Ciclos de rerun documentados na Fase 6,3,ciclos,6,"RESEARCH_LOG P0032 / P0033(cont.) / P0035","Cada ciclo: 1a rodada vermelha -> correcao -> 2a rodada verde"
M070,testes,Testes positivos (snapshot 67 testes),40,testes,6,"Versus decisao #69 spec-coverage ('positivos ~ 40')","Aproximado; nao recalculado para 74/78"
M071,testes,Testes negativos (snapshot 67 testes),27,testes,6,"Versus decisao #69 spec-coverage ('negativos ~ 27'; razao ~1:1,5)","Aproximado; acima do minimo 1:2 do protocolo"
M072,testes,Fixtures/datasets JSON,16,arquivos,6,"ls specs/datasets/*.json","+ README.md"
M073,testes,Fixtures marcados REAL (resposta de producao),4,arquivos,6,"specs/datasets/README.md","certificados-producao-real; cert-ext-obter-pessoa-nao-encontrada; cert-ext-obter-pessoa-encontrada; inscricao-formulario-400"
M074,testes,Fixtures sinteticos,12,arquivos,6,"specs/datasets/README.md (16 - 4)",""
M075,testes,Criterios VAL definidos,43,criterios,6,"specs/validation/criterios-de-validacao.md (VAL-1..VAL-43)","VAL-41/42/43 acrescentados em P0033/P0035"
M076,testes,Casos de uso da Fase 0 (UC),12,casos,0,"specs/validation/criterios-de-validacao.md (UC-1..UC-12)","5 casos de uso 'principais' na Fase 0 (Login/Inscricao/Certificados/Certidao/CertExt) - get_exit_criteria(0) use_cases_complete; 12 na formalizacao da Fase 6"
M077,testes,VAL cobertos automaticamente (snapshot spec-coverage),34/40,criterios,6,"Versus decisao #69 spec-coverage ('34/40 VAL cobertos automaticamente')","Snapshot de 67 testes; VAL-41/42/43 posteriores tem testes mas nao ha contagem formal atualizada registrada"
M078,testes,VAL marcados como manuais/GAP,5,criterios,6,"specs/validation/criterios-de-validacao.md secao 'Fora de cobertura'","VAL-4; VAL-5 (metade Keychain); VAL-35; VAL-36; VAL-40"
M079,testes,Achados criticos com linha em critical-coverage.md,8/8,achados,6,"specs/validation/critical-coverage.md (AR-03 AS-02 LG-01 OB-01 RS-01 RS-03 SE-01 SE-02)","SE-01 e SE-02/A-11 sem teste de regressao, com motivo declarado"
M080,testes,Rodadas de smoke test P0 (execucao humana),8,rodadas,5,"RESEARCH_LOG P0017 P0018 P0019 P0020 P0021 P0023 P0025 P0031","+ validacao manual parcial em P0030 (passos A-D)"
M081,testes,Passadas exploratorias manuais dedicadas (Fase 6),1,passadas,6,"RESEARCH_LOG P0032 (plano) / P0033 / P0034","Em curso e PARCIAL: 2 relatos de FAIL no UC-3; nenhum UC marcado PASS manual"
M082,testes,Falhas encontradas SO por teste manual/humano,13,falhas,5-6,"todas as 8 rodadas de smoke P0 + UC-3 (P0033) + UC-3 persistente (P0034)","O codigo compilava (BUILD SUCCEEDED) em todos os casos"
M083,testes,Falhas encontradas SO por teste automatizado,4,falhas,6,"RESEARCH_LOG P0032 (AdminFeedTests 8 falhas = 1 causa) + P0033 (2 atualizacoes de expectativa) + P0035 (1)","AdminFeedTests: quirk de 1o uso de URLProtocol; as demais sao ajustes de teste apos mudanca de comportamento"
M084,testes,Falhas encontradas por autorrevisao do GA antes de compilar,1,falhas,5,"D0041 / decisao Versus #33 ('FALHA DE INTEGRACAO REAL ENCONTRADA E CORRIGIDA (micro-check adversarial ...) ... Nenhuma tentativa de build foi feita com o codigo incorreto')","Placeholder sem sentido para token do Moodle + CPFs hardcoded sem via de edicao"
M085,retrabalho,Diagnosticos posteriormente refutados/corrigidos,3,diagnosticos,5-6,"D0054->D0055 ([cifra legada] refutado; causa real = senha vazia); D0053 insuficiente->D0054; D0057 ('Certificados NAO CONFIRMADO')->D0065 (campo pessoa confirmado)","P0033 (CPF wiring) correto mas insuficiente -> P0034"
M086,retrabalho,Decisoes revisadas por nova entrada,5,decisoes,0-6,"D0020->sintese revisada; D0022->D0023; D0054->D0055; D0072->D0073; P0033->P0034->P0035","Historico preservado (nenhuma editada/apagada)"
M087,retrabalho,Ciclos 'falha->diagnostico->correcao->novo teste' fechados,5,ciclos,5,"RESEARCH_LOG P0017-P0026 (Firebase; mTLS+nome; PKCS12; HTTP/2 coalescing+frentes; Certidao/CertExt/AVA; Certificados/CPF)","Agrupamento conservador; + 1 ciclo ABERTO na Fase 6 (UC-3): P0033 correcao -> P0034 falha -> P0035 observabilidade -> reteste pendente"
M088,retrabalho,Problemas encontrados so apos build verde,12,problemas,5-6,"todos os 11 defeitos funcionais da Fase 5 (M059) + UC-3 da Fase 6","O compilador aceitava o codigo; so execucao humana/manual revelou"
M089,retrabalho,Problemas encontrados so apos testes automatizados verdes,1,problemas,6,"UC-3 (P0033/P0034): suite de 67/74/78 testes verde; defeito 'formulario nao carrega' so no teste manual - testes usavam urlCurso e CPF fake, nunca o caminho real","Tambem o achado de P0034 (timeout de cliente 30s vs 120s Android) persiste com 78 testes verdes"
M090,temporal,Timestamp de inicio do estudo,2026-08-26T21:52:28Z,UTC,0,"STUDY_PROTOCOL.md; RESEARCH_LOG.md P0001",""
M091,temporal,Gate Fase 0 -> Fase 1,2026-08-26T23:36:39Z,UTC,0-1,"GATES.md G0-03",""
M092,temporal,Gate Fase 1 -> Fase 2,2026-08-29T16:39:59Z,UTC,1-2,"GATES.md G1-02",""
M093,temporal,Gate Fase 2 -> Fase 3,2026-08-29T16:54:06Z,UTC,2-3,"GATES.md G2-02","G2-01/G2-02/G3-01/G3-02 registrados no mesmo timestamp"
M094,temporal,Gate Fase 3 -> Fase 4,2026-08-29T16:54:06Z,UTC,3-4,"GATES.md G3-02","Mesmo timestamp de G2 - duracao da Fase 3 nao isolavel"
M095,temporal,Gate Fase 4 -> Fase 5,2026-08-29T16:56:14Z,UTC,4-5,"GATES.md G4-04",""
M096,temporal,Fase 5 pausada (pre-implementacao ambiente),2026-08-29T21:39:29Z,UTC,5,"GATES.md 'Fase 5 - PAUSADA'; D0029",""
M097,temporal,Fase 5 retomada (Xcode instalado),2026-08-29T21:40:49Z,UTC,5,"ENVIRONMENT.md atualizacao; D0030",""
M098,temporal,Gate Fase 5 -> Fase 6,2026-08-31T17:11:05Z,UTC,5-6,"GATES.md secao '2026-08-31T17:11:05Z'",""
M099,temporal,Gate criterio Fase 6 tests_passing,2026-08-31T17:49:41Z,UTC,6,"GATES.md; Versus lastTestOutcome at=2026-08-31T17:49:41.033Z",""
M100,temporal,Ultima decisao registrada,2026-08-31T22:50:22Z,UTC,6,"Versus get_decisions ultimo timestamp (P0035)",""
M101,temporal,Span calendario Fase 0 (1a decisao P0 -> gate),PT1H12M52S,duracao,0,"M090b 2026-08-26T22:23:47Z (D0007) -> M091 2026-08-26T23:36:39Z","Trabalho ativo em sessao unica; span de research-init ao gate = ~1h44m"
M102,temporal,Span calendario Fase 1 (entrada gate -> saida gate),P2DT17H3M20S,duracao,1,"M091 -> M092","Inclui ~2,7 dias sem atividade (P0005 executado em 2026-08-29); trabalho ativo de Fase 1 na sessao de 2026-08-29 ~16:31-16:40 (~9 min) + proposta rejeitada de 11 modulos"
M103,temporal,Span calendario Fase 2 (entrada -> saida),PT14M7S,duracao,2,"M092 -> M093",""
M104,temporal,Span calendario Fase 3,NA,duracao,3,"M093 e M094 tem o mesmo timestamp","Nao isolavel - gates G2 e G3 registrados juntos"
M105,temporal,Span calendario Fase 4,PT2M8S,duracao,4,"M094 -> M095",""
M106,temporal,Span calendario Fase 5 (entrada gate -> saida gate),P1DT20H14M51S,duracao,5,"M095 2026-08-29T16:56:14Z -> M098 2026-08-31T17:11:05Z","Fortemente pontuado por lacunas entre sessoes (instalacao de Xcode; tentativa manual de Firebase pelo VA-human ~19h de gap 2026-08-30 01:04->19:39; etc.). NAO representa esforco continuo"
M107,temporal,Span calendario Fase 6 ate este relatorio,~2d21h+,duracao,6,"M098 2026-08-31T17:11:05Z -> P0036 2026-09-02T14:42:49Z","Fase 6 ABERTA (2/3 criterios pendentes)"
M108,temporal,Duracao de implementacao / correcao / testes isoladas,NA,duracao,5-6,"RESEARCH_LOG registra timestamp por ENTRADA, nao por mensagem/acao","Nao calculavel com os registros atuais - nao ha marcacao de tempo de esforco por atividade"
M109,temporal,Quantidade de sessoes de chat,NA,sessoes,0-6,"nao rotulado nos registros","Estimavel por agrupamento de timestamps (>= 9-10 janelas distintas) mas NAO e um dado observado; ver M110"
M110,temporal,Eventos explicitos de pausa/retomada/renovacao registrados,4,eventos,5-6,"D0029/D0030 (pausa+retomada ambiente); D0032 (pausa checkpoint 7/23); D0047 (pausa Firebase manual); Versus decisao #67 + RESEARCH_LOG P0032 (renovacao de sessao 'retomar Versus')",""
M111,temporal,Retomadas pos-compactacao de contexto (esta sessao),>=1,eventos,6,"system-reminder 'your response above was cut off' + instrucao de retomada nesta sessao","Nao ha um contador persistente de compactacoes"
